pand_id,city,true_type,true_bouwjaar,true_period,true_num_floors,DINOv2_type,DINOv2_year,DINOv2_period,DINOv2_floors,DINOv2_ok,ResNet_type,ResNet_year,ResNet_period,ResNet_floors,ResNet_ok,VLM_type,VLM_year,VLM_period,VLM_floors,VLM_ok,n_imgs,mean_year_err,cat
0363100012091355,amsterdam,AB,1923.0,NL.01,5.0,AB,1923.4970703125,NL.01,4.8298211097717285,True,AB,1921.4832763671875,NL.01,5.192637920379639,True,AB,1950.0,NL.01,4.0,True,8,9.6712646484375,A
0363100012157861,amsterdam,TH,1912.0,NL.01,2.0,TH,1907.885986328125,NL.01,2.2544500827789307,True,TH,1925.873779296875,NL.01,3.325125217437744,True,TH,1900.0,NL.01,3.0,True,3,9.995930989583334,A
0363100012101277,amsterdam,AB,1924.0,NL.01,5.0,AB,1924.13525390625,NL.01,4.703509330749512,True,AB,1927.2550048828125,NL.01,5.165920734405518,True,AB,1950.0,NL.01,5.0,True,4,9.7967529296875,A
0363100012096123,amsterdam,AB,1929.0,NL.01,5.0,AB,1923.8516845703125,NL.01,5.098684787750244,True,AB,1922.449462890625,NL.01,5.0931243896484375,True,AB,1950.0,NL.01,4.0,True,1,10.899617513020834,A
0363100012096905,amsterdam,AB,1933.0,NL.01,5.0,AB,1927.63037109375,NL.01,4.815391540527344,True,AB,1931.65869140625,NL.01,4.741621494293213,True,AB,1900.0,NL.01,4.0,True,4,13.236979166666666,A
0363100012094871,amsterdam,AB,1934.0,NL.01,5.0,AB,1928.2093505859375,NL.01,5.1241631507873535,True,AB,1930.884033203125,NL.01,5.084873199462891,True,AB,1950.0,NL.01,5.0,True,1,8.302205403645834,A
0363100012148854,amsterdam,AB,1929.0,NL.01,4.0,AB,1927.86572265625,NL.01,4.363446235656738,True,AB,1933.0078125,NL.01,4.4542365074157715,True,AB,1950.0,NL.01,4.0,True,3,8.714029947916666,A
0503100000028893,delft,AB,1913.0,NL.01,5.0,AB,1894.0374755859375,NL.01,4.514547824859619,True,AB,1884.8406982421875,NL.01,4.666411399841309,True,AB,1850.0,NL.01,3.0,True,8,36.707275390625,A
0363100012100245,amsterdam,AB,1922.0,NL.01,5.0,AB,1922.90283203125,NL.01,4.915893077850342,True,AB,1923.8543701171875,NL.01,4.897883415222168,True,AB,1950.0,NL.01,4.0,True,8,10.252400716145834,A
0363100012137273,amsterdam,AB,1933.0,NL.01,5.0,AB,1928.4503173828125,NL.01,4.353636264801025,True,AB,1931.9683837890625,NL.01,3.444709300994873,True,AB,1900.0,NL.01,4.0,True,1,12.860432942708334,A
0363100012158728,amsterdam,AB,1905.0,NL.01,5.0,AB,1900.079833984375,NL.01,4.928469657897949,True,AB,1902.5845947265625,NL.01,5.005429744720459,True,TH,1900.0,NL.01,4.0,False,5,4.111857096354167,B
0363100012061311,amsterdam,AB,1925.0,NL.01,5.0,AB,1927.68896484375,NL.01,4.991546630859375,True,AB,1926.7020263671875,NL.01,5.102630615234375,True,TH,1900.0,NL.01,4.0,False,8,9.7969970703125,B
0363100012135983,amsterdam,AB,1929.0,NL.01,4.0,AB,1926.6712646484375,NL.01,3.9367902278900146,True,AB,1922.10302734375,NL.01,3.9899375438690186,True,TH,1900.0,NL.01,3.0,False,7,12.741902669270834,B
0344100000020673,utrecht,AB,1900.0,NL.01,4.0,AB,1904.6961669921875,NL.01,3.23301362991333,True,TH,1874.0264892578125,NL.01,2.336197853088379,False,TH,1850.0,NL.01,3.0,False,1,26.889892578125,B
0363100012117316,amsterdam,AB,1930.0,NL.01,5.0,AB,1926.859130859375,NL.01,5.3678388595581055,True,AB,1930.3568115234375,NL.01,5.16174840927124,True,AB,1970.0,NL.02,5.0,False,2,14.499226888020834,B
0363100012086858,amsterdam,AB,1929.0,NL.01,4.0,AB,1928.478759765625,NL.01,3.9206881523132324,True,AB,1926.77880859375,NL.01,4.014002323150635,True,TH,1950.0,NL.01,4.0,False,5,7.914143880208333,B
0363100012139918,amsterdam,AB,1932.0,NL.01,4.0,AB,1930.8017578125,NL.01,3.9507899284362793,True,AB,1934.6207275390625,NL.01,4.021322250366211,True,TH,1925.0,NL.01,4.0,False,2,3.6063232421875,B
0363100012159857,amsterdam,AB,1906.0,NL.01,5.0,AB,1894.0355224609375,NL.01,4.77785062789917,True,AB,1899.2623291015625,NL.01,4.904080867767334,True,TH,1875.0,NL.01,4.0,False,2,16.5673828125,B
0599100000648231,rotterdam,AB,1895.0,NL.01,4.0,AB,1907.1456298828125,NL.01,4.400747776031494,True,AB,1900.519287109375,NL.01,4.445096015930176,True,MFH,1850.0,NL.01,4.0,False,8,20.8883056640625,B
0363100012157354,amsterdam,AB,1886.0,NL.01,5.0,AB,1890.6566162109375,NL.01,4.803267955780029,True,AB,1889.1982421875,NL.01,4.882998466491699,True,TH,1850.0,NL.01,5.0,False,1,14.6182861328125,B
0363100012169832,amsterdam,AB,1996.0,NL.04,5.0,AB,1906.28955078125,NL.01,4.118037223815918,False,AB,1879.92724609375,NL.01,4.672176837921143,False,TH,1800.0,NL.01,3.0,False,2,133.927734375,C
0363100012236172,amsterdam,AB,2022.0,NL.06,5.0,AB,1888.237060546875,NL.01,4.439039707183838,False,AB,1876.38916015625,NL.01,4.430387496948242,False,TH,1900.0,NL.01,4.0,False,3,133.791259765625,C
0363100012159704,amsterdam,AB,1987.0,NL.03,5.0,AB,1890.4228515625,NL.01,4.706068992614746,False,AB,1881.785888671875,NL.01,4.637088298797607,False,TH,1850.0,NL.01,4.0,False,2,112.930419921875,C
0363100012173120,amsterdam,AB,1993.0,NL.04,3.0,TH,1888.5977783203125,NL.01,3.1525309085845947,False,AB,1910.59326171875,NL.01,3.1680045127868652,False,TH,1850.0,NL.01,3.0,False,4,109.93631998697917,C
0363100012166995,amsterdam,AB,1983.0,NL.03,4.0,AB,1890.6204833984375,NL.01,4.207387447357178,False,AB,1886.4476318359375,NL.01,4.72672176361084,False,TH,1850.0,NL.01,4.0,False,2,107.31062825520833,C
0363100012239867,amsterdam,AB,2008.0,NL.05,4.0,AB,1958.677001953125,NL.01,4.837160110473633,False,AB,1903.3834228515625,NL.01,4.587000370025635,False,TH,1850.0,NL.01,3.0,False,8,103.9798583984375,C
0363100012173176,amsterdam,AB,1998.0,NL.04,5.0,AB,1897.5166015625,NL.01,4.8584065437316895,False,AB,1887.7720947265625,NL.01,5.124892711639404,False,TH,1900.0,NL.01,4.0,False,8,102.90376790364583,C
0363100012169535,amsterdam,AB,2006.0,NL.05,5.0,AB,1935.6075439453125,NL.01,4.300207138061523,False,AB,1930.246337890625,NL.01,4.414768695831299,False,TH,1850.0,NL.01,4.0,False,1,100.71537272135417,C
0344100000060111,utrecht,AB,1991.0,NL.03,4.0,AB,1950.8656005859375,NL.01,4.793738842010498,False,AB,1973.74951171875,NL.02,4.619260311126709,False,AB,1970.0,NL.02,5.0,False,2,26.1282958984375,C
0363100012238903,amsterdam,AB,2010.0,NL.05,5.0,AB,1930.783447265625,NL.01,5.008171081542969,False,AB,1972.8072509765625,NL.02,4.719078540802002,False,AB,1850.0,NL.01,5.0,False,4,92.13643391927083,C
0599100000750567,rotterdam,AB,2006.0,NL.05,3.0,TH,1979.54345703125,NL.03,4.609106540679932,False,AB,1980.265869140625,NL.03,4.080862522125244,False,AB,1980.0,NL.03,4.0,False,4,26.063557942708332,C
0363100012173745,amsterdam,MFH,1995.0,NL.04,6.0,AB,1997.3768310546875,NL.04,5.332393646240234,False,AB,1991.90185546875,NL.04,4.710651397705078,False,AB,1980.0,NL.03,5.0,False,8,6.824991861979167,C
0363100012090271,amsterdam,AB,1984.0,NL.03,5.0,AB,1996.0203857421875,NL.04,4.832083702087402,False,AB,2015.903564453125,NL.06,4.966032028198242,False,AB,1965.0,NL.02,6.0,False,2,20.974650065104168,C
0363100012238347,amsterdam,AB,2011.0,NL.05,5.0,AB,1986.8392333984375,NL.03,4.783628463745117,False,AB,2069.390869140625,NL.06,4.367591857910156,False,AB,1900.0,NL.01,6.0,False,2,64.5172119140625,C
0344100000077356,utrecht,AB,2009.0,NL.05,3.0,TH,1923.8648681640625,NL.01,2.771822214126587,False,AB,1927.4141845703125,NL.01,3.5908889770507812,False,MFH,1950.0,NL.01,3.0,False,8,75.24031575520833,C
0599100000428217,rotterdam,AB,2006.0,NL.05,5.0,AB,1952.323974609375,NL.01,4.448835372924805,False,AB,1955.94921875,NL.01,4.883241176605225,False,AB,1980.0,NL.03,5.0,False,4,43.242268880208336,C
